Ticker,Year,Trimestre,Tri_Performance,CAC40_Tri_Performance,Quarterly_Beta,abs_Beta,Date
SAN.PA,2020,3,-6.333695652811122,-2.5066268610684657,0.74,0.74,2020-T3
SAN.PA,2020,4,-7.737404299400685,15.078028194161847,0.64,0.64,2020-T4
SAN.PA,2021,1,6.645569620253164,8.557406438299557,0.36,0.36,2021-T1
SAN.PA,2021,2,4.9406221055643655,6.633995958992106,0.19,0.19,2021-T2
SAN.PA,2021,3,-6.081841859709353,-0.5158832482517985,0.32,0.32,2021-T3
SAN.PA,2021,4,7.226729423307915,9.747929856462608,0.58,0.58,2021-T4
SAN.PA,2022,1,3.5598345908354005,-7.722503693457224,0.42,0.42,2022-T1
SAN.PA,2022,2,2.33694174899697,-11.391604947073542,0.51,0.51,2022-T2
SAN.PA,2022,3,-19.60623028645984,-2.844689029902581,0.22,0.22,2022-T3
SAN.PA,2022,4,12.581444739570916,11.729241989516805,0.17,0.17,2022-T4
SAN.PA,2023,1,9.336821040685027,11.03666094833144,0.06,0.06,2023-T1
SAN.PA,2023,2,-1.4452051889071482,0.7364605571488261,0.47,0.47,2023-T2
SAN.PA,2023,3,1.0380588447904304,-0.8392141651334131,0.69,0.69,2023-T3
SGO.PA,2020,1,-40.07029728337038,-27.23462522241993,1.26,1.26,2020-T1
SGO.PA,2020,2,48.51714249476429,17.321330834540717,1.25,1.25,2020-T2
SGO.PA,2020,3,11.107678158192115,-2.5066268610684657,1.09,1.09,2020-T3
SGO.PA,2020,4,3.648423669679694,15.078028194161847,0.79,0.79,2020-T4
SGO.PA,2021,1,31.144125868112084,8.557406438299557,1.1,1.1,2021-T1
SGO.PA,2021,2,9.784543878255434,6.633995958992106,1.04,1.04,2021-T2
SGO.PA,2021,3,2.988510104698095,-0.5158832482517985,1.05,1.05,2021-T3
SGO.PA,2021,4,9.48504825615811,9.747929856462608,1.22,1.22,2021-T4
SGO.PA,2022,1,-12.875261422197998,-7.722503693457224,1.3,1.3,2022-T1
SGO.PA,2022,2,-24.218025874704523,-11.391604947073542,1.24,1.24,2022-T2
